Crop2016,Crop,CropETo,WaterApplied,NetWaterUse_Applied,Factor,AppliedFromETo,AppliedWater,TotalWater
Alfalfa and Alfalfa Mixtures,Alfalfa Hay and Clover,3.715,3.8,5.04427333974976,0.676626955038319,4.24047619047619,4.42213666987488,5.48880333654155
Almonds,Almonds,3.265,,3.53703703703704,0.708954923800716,3.59761904761905,3.53703703703704,4.6037037037037
Apples,"Apple, Pear, Cherry, Plum and Prune",3.195,2.7,,0.847854931446263,3.49761904761905,2.7,3.76666666666667
Avocados,Avocado,3.08916666666667,,,,3.34642857142857,3.34642857142857,4.41309523809524
Beans (Dry),,,2.3,2.34117647058824,,,2.32058823529412,3.38725490196078
Bush Berries,,,0.6,,,,0.6,1.66666666666667
Carrots,,1.61333333333333,2.8,1.51458576429405,0.500161278945049,1.23809523809524,2.15729288214702,3.22395954881369
Cherries,,3.195,2.7,,0.847854931446263,3.49761904761905,2.7,3.76666666666667
Citrus,Citrus (no ground cover),3.1275,,,,3.40119047619048,3.40119047619048,4.46785714285714
Cole Crops,,1.61333333333333,2.8,1.51458576429405,0.500161278945049,1.23809523809524,2.15729288214702,3.22395954881369
"Corn, Sorghum and Sudan",Corn and Grain Sorghum,2.37916666666667,3.12931701274888,2.82458386683739,0.588133441335288,2.33214285714286,2.97695043979313,4.0436171064598
Cotton,Cotton,2.635,2.9,3.09,0.648482362592289,2.69761904761905,2.995,4.06166666666667
Dates,,,2.7,,,,2.7,3.76666666666667
"Flowers, Nursery and Christmas Tree Farms","Flowers, Nursery and Christmas Tree",3.08916666666667,,,,3.34642857142857,3.34642857142857,4.41309523809524
Grapes,Grape Vines with 80% canopy,2.30333333333333,,1.86,0.786568013659647,2.22380952380952,1.86,2.92666666666667
Greenhouse,Grape Vines with cover crop (80% canopy),3.2225,,,,3.53690476190476,3.53690476190476,4.60357142857143
Kiwis,,,,1.86,,,1.86,2.92666666666667
Lettuce/Leafy Greens,,,2.5,,,,2.5,3.56666666666667
"Melons, Squash and Cucumbers","Melons, Squash, and Cucumbers",2.06583333333333,,1.76724137931034,0.728541316200166,1.88452380952381,1.76724137931034,2.83390804597701
Miscellaneous Subtropical Fruits,Misc Subtropical,3.08916666666667,,,,3.34642857142857,3.34642857142857,4.41309523809524
Miscellaneous Deciduous,Misc. Deciduous,3.08916666666667,,3.29359165424739,0.708211781601505,3.34642857142857,3.29359165424739,4.36025832091406
Miscellaneous Field Crops,Misc. field crops,2.12916666666667,,2.61360123647604,0.578273900933796,1.975,2.61360123647604,3.68026790314271
Miscellaneous Grain and Hay,Grain and Grain Hay,1.56833333333333,2.64941229946212,1.39236111111111,0.50767938629388,1.17380952380952,2.02088670528662,3.08755337195328
Onions and Garlic,Onions and Garlic,1.66166666666667,,2.8125,0.428172643332618,1.30714285714286,2.8125,3.87916666666667
Miscellaneous Grasses,Pasture and Misc. Grasses,3.77166666666667,2,,1.22922324823466,4.32142857142857,2,3.06666666666667
Peaches/Nectarines,"Peach, Nectarine and Apricots",3.15916666666667,2.7,,0.838345864661654,3.44642857142857,2.7,3.76666666666667
Miscellaneous Truck Crops,,1.61333333333333,2.8,1.51458576429405,0.500161278945049,1.23809523809524,2.15729288214702,3.22395954881369
Mixed Pasture,,,2,,,,2,3.06666666666667
Olives,,,3.27083333333333,,,,3.27083333333333,4.3375
Pears,"Apple, Pear, Cherry, Plum and Prune",3.195,2.7,,0.847854931446263,3.49761904761905,2.7,3.76666666666667
Peppers,,,,1.51458576429405,,,1.51458576429405,2.58125243096072
Pistachios,Pistachio,2.87666666666667,,3.53703703703704,,3.04285714285714,3.53703703703704,4.6037037037037
,"Potatoes, Sugar beets, Turnip etc..",2.88083333333333,1.7,3.70909090909091,0.763563712300711,3.04880952380952,2.70454545454545,3.77121212121212
"Plums, Prunes and Apricots","Apple, Pear, Cherry, Plum and Prune",3.195,2.7,,0.847854931446263,3.49761904761905,2.7,3.76666666666667
Pomegranates,,,2.7,,,,2.7,3.76666666666667
Rice,Rice,3.2575,4.5,4.56081081081081,0.581827470794581,3.58690476190476,4.53040540540541,5.59707207207207
Safflower,Safflower and Sunflower,2.19333333333333,,1.37209302325581,0.898750059558789,2.06666666666667,1.37209302325581,2.43875968992248
,Small Vegetables,1.61333333333333,2.8,1.51458576429405,0.500161278945049,1.23809523809524,2.15729288214702,3.22395954881369
Strawberries,Strawberries,2.12916666666667,,,,1.975,1.975,3.04166666666667
Sunflowers,Safflower and Sunflower,2.19333333333333,,,,2.06666666666667,2.06666666666667,3.13333333333333
Tomatoes,Tomatoes and Peppers,2.00416666666667,2.7,2.36705202312139,0.556425577669422,1.79642857142857,2.53352601156069,3.60019267822736
Walnuts,Walnuts,3.46416666666667,,,,3.88214285714286,3.88214285714286,4.94880952380952
Wheat,,,2.1,,,,2.1,3.16666666666667
Young Perennials,"Flowers, Nursery and Christmas Tree",3.08916666666667,,,,3.34642857142857,3.34642857142857,4.41309523809524
