,0
0,
1,Grapes
2,Miscellaneous Deciduous
3,Almonds
4,Miscellaneous Truck Crops
5,Idle
6,Cotton
7,Tomatoes
8,Alfalfa and Alfalfa Mixtures
9,Citrus
10,Peaches/Nectarines
11,Mixed Pasture
12,"Melons, Squash and Cucumbers"
13,Carrots
14,Miscellaneous Grasses
15,Pistachios
16,Young Perennials
17,Walnuts
18,Kiwis
19,Bush Berries
20,"Plums, Prunes and Apricots"
21,Miscellaneous Grain and Hay
22,"Flowers, Nursery and Christmas Tree Farms"
23,Cole Crops
24,Wheat
25,Lettuce/Leafy Greens
26,Onions and Garlic
27,Olives
28,Strawberries
29,Pomegranates
30,Cherries
31,"Corn, Sorghum and Sudan"
32,Miscellaneous Subtropical Fruits
33,Beans (Dry)
34,Peppers
35,Sunflowers
36,Avocados
37,Pears
38,Apples
39,Greenhouse
40,Rice
41,Safflower
42,Miscellaneous Field Crops
43,Dates
